gameId,playId,season,week,gameDate,homeTeamAbbr,visitorTeamAbbr,possessionTeam,defensiveTeam,quarter,down,yardsToGo,yardlineSide,yardlineNumber,absoluteYardlineNumber,gameClock,gameClockSeconds,playClockAtSnap,preSnapHomeScore,preSnapVisitorScore,possessionScore,defensiveScore,scoreDifferential,expectedPoints,offenseFormation,receiverAlignment,isDropback,playAction,pff_runPassOption,passResult,rushLocationType,yardsGained,playDescription,anyPreSnapMotion,nOffenseRows,split
2022090800,56,2022,1,2022-09-08,LA,BUF,BUF,LA,1,1,10,BUF,25,85,15:00:00,900,12,0,0,0,0,0,1.29869867442176,SHOTGUN,2x2,1,FALSE,0,C,NA,6,(15:00) (Shotgun) J.Allen pass short right to S.Diggs to BUF 31 for 6 yards (J.Ramsey).,TRUE,11,train
2022090800,80,2022,1,2022-09-08,LA,BUF,BUF,LA,1,2,4,BUF,31,79,14:29:00,869,16,0,0,0,0,0,1.30311907688156,EMPTY,3x2,1,FALSE,0,R,INSIDE_RIGHT,7,"(14:29) (No Huddle, Shotgun) J.Allen scrambles right end to BUF 38 for 7 yards (E.Jones).",TRUE,11,train
2022090800,101,2022,1,2022-09-08,LA,BUF,BUF,LA,1,1,10,BUF,38,72,13:54:00,834,13,0,0,0,0,0,2.12668958399445,I_FORM,2x1,0,FALSE,0,NA,INSIDE_RIGHT,7,(13:54) D.Singletary right end to BUF 45 for 7 yards (T.Hill).,TRUE,11,train
2022090800,122,2022,1,2022-09-08,LA,BUF,BUF,LA,1,2,3,BUF,45,65,13:15:00,795,9,0,0,0,0,0,2.68905307259411,SHOTGUN,2x1,1,FALSE,0,C,NA,6,(13:15) (Shotgun) J.Allen pass short right to D.Singletary to LA 49 for 6 yards (B.Wagner).,FALSE,11,train
2022090800,167,2022,1,2022-09-08,LA,BUF,BUF,LA,1,2,8,LA,47,57,11:54:00,714,9,0,0,0,0,0,2.57420611265115,EMPTY,3x2,1,FALSE,0,C,NA,12,(11:54) (Shotgun) J.Allen pass short middle to S.Diggs to LA 35 for 12 yards (L.Floyd).,FALSE,11,train
2022090800,191,2022,1,2022-09-08,LA,BUF,BUF,LA,1,1,10,LA,35,45,11:20:00,680,13,0,0,0,0,0,3.94764705013949,SINGLEBACK,3x1,0,FALSE,0,NA,OUTSIDE_RIGHT,1,"(11:20) Z.Moss right end to LA 34 for 1 yard (T.Lewis, G.Gaines).",TRUE,11,train
2022090800,212,2022,1,2022-09-08,LA,BUF,BUF,LA,1,2,9,LA,34,44,10:42:00,642,10,0,0,0,0,0,3.53432208206505,SHOTGUN,2x2,1,FALSE,0,C,NA,8,(10:42) (Shotgun) J.Allen pass short right to Z.Moss to LA 26 for 8 yards (B.Wagner).,TRUE,11,train
2022090800,236,2022,1,2022-09-08,LA,BUF,BUF,LA,1,3,1,LA,26,36,10:03:00,603,9,0,0,0,0,0,4.0816742886090696,I_FORM,2x1,1,TRUE,0,C,NA,26,"(10:03) J.Allen pass short right to G.Davis for 26 yards, TOUCHDOWN.",TRUE,11,train
2022090800,299,2022,1,2022-09-08,LA,BUF,LA,BUF,1,1,10,LA,17,27,09:52:00,592,18,0,7,0,7,-7,0.723415662068874,SINGLEBACK,2x2,0,FALSE,0,NA,INSIDE_RIGHT,5,(9:52) D.Henderson up the middle to LA 22 for 5 yards (G.Rousseau).,TRUE,11,train
2022090800,343,2022,1,2022-09-08,LA,BUF,LA,BUF,1,2,10,LA,17,27,09:04:00,544,1,0,7,0,7,-7,0.0709334746934474,SHOTGUN,2x2,0,FALSE,0,NA,OUTSIDE_RIGHT,2,(9:04) (Shotgun) D.Henderson up the middle to LA 19 for 2 yards (T.Edmunds).,TRUE,11,train
2022090800,364,2022,1,2022-09-08,LA,BUF,LA,BUF,1,3,8,LA,19,29,08:25:00,505,7,0,7,0,7,-7,-0.666245976928622,SHOTGUN,3x1,1,FALSE,0,C,NA,23,(8:25) (Shotgun) M.Stafford pass deep right to C.Kupp ran ob at LA 42 for 23 yards (J.Poyer).,TRUE,11,train
2022090800,393,2022,1,2022-09-08,LA,BUF,LA,BUF,1,1,10,LA,42,52,07:45:00,465,2,0,7,0,7,-7,2.45813551731408,SHOTGUN,2x2,0,FALSE,0,NA,INSIDE_RIGHT,1,(7:45) (Shotgun) D.Henderson right guard to LA 43 for 1 yard (T.Settle).,TRUE,11,train
2022090800,414,2022,1,2022-09-08,LA,BUF,LA,BUF,1,2,9,LA,43,53,07:23:00,443,26,0,7,0,7,-7,2.07180004846305,EMPTY,4x1,1,FALSE,0,C,NA,10,"(7:23) (No Huddle, Shotgun) M.Stafford pass short right to T.Higbee to BUF 47 for 10 yards (D.Jackson).",FALSE,11,train
2022090800,438,2022,1,2022-09-08,LA,BUF,LA,BUF,1,1,10,BUF,47,63,06:48:00,408,15,0,7,0,7,-7,3.15820428263396,SINGLEBACK,2x2,1,TRUE,0,C,NA,4,(6:48) M.Stafford pass short left to B.Skowronek pushed ob at BUF 43 for 4 yards (C.Benford).,TRUE,11,train
2022090800,467,2022,1,2022-09-08,LA,BUF,LA,BUF,1,2,6,BUF,43,67,06:21:00,381,20,0,7,0,7,-7,2.91986055043526,SHOTGUN,2x2,1,FALSE,0,S,NA,-8,"(6:21) (No Huddle, Shotgun) M.Stafford sacked at LA 49 for -8 yards (V.Miller).",FALSE,11,train
