gameId,playId,playActionPass,offenseFormation,receiverAlignment,down,yardsToGo,yardsToEndzone,side,position,jerseyNumber,xStd,yStd,xFromLos,lineOfScrimmage,firstDownX,s,direction
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,DE,4,58.75,28.983333333333334,0.75,58,59,0.2,235.48
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,DE,97,59.21,25.393333333333334,1.2100000000000009,58,59,0.08,275.47
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,CB,24,67.14,9.893333333333338,9.14,58,59,0.45,280
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,CB,44,65.11,33.77333333333334,7.109999999999999,58,59,1.11,345.76
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,SS,36,62.87,20.243333333333332,4.8699999999999974,58,59,0.66,276.36
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,ILB,6,60.84,22.383333333333336,2.8400000000000034,58,59,0.63,309.73
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,OLB,40,62.68,25.243333333333336,4.68,58,59,0,347.1
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,SS,26,74.12,28.033333333333335,16.120000000000005,58,59,0.14,32.639999999999986
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,OLB,99,58.62,18.92333333333334,0.6199999999999974,58,59,0.01,356.72
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,DT,98,58.93,21.643333333333334,0.9299999999999996,58,59,0.07,287.04
2022102700,390,1,SINGLEBACK,3x1,2,1,48,defense,CB,22,62.69,30.863333333333337,4.689999999999998,58,59,0.58,115.70999999999998
2022102700,390,1,SINGLEBACK,3x1,2,1,48,football,BALL,NA,57.7400016784668,23.643332799275736,-0.2599983215332031,58,59,0.670000016689301,NA
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,QB,12,56.54,23.803333333333335,-1.4600000000000009,58,59,0.05,245.08
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,WR,6,56.04,34.233333333333334,-1.9600000000000009,58,59,0.07,170.24
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,WR,13,56.89,10.013333333333335,-1.1099999999999994,58,59,0.04,45.860000000000014
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,T,76,57.13,26.843333333333337,-0.8699999999999974,58,59,0.31,156.87
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,G,69,56.91,22.223333333333336,-1.0900000000000034,58,59,0.05,338.46000000000004
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,RB,7,50.59,23.713333333333335,-7.409999999999997,58,59,0,76.02999999999997
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,WR,14,57.17,29.873333333333335,-0.8299999999999983,58,59,0.01,47.14999999999998
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,T,78,56.75,20.623333333333335,-1.25,58,59,0.01,284.44
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,G,60,57.02,25.443333333333335,-0.9799999999999968,58,59,0.16,163.01999999999998
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,C,70,57.67,23.803333333333335,-0.3299999999999983,58,59,0.08,209.25
2022102700,390,1,SINGLEBACK,3x1,2,1,48,offense,TE,41,56.32,28.143333333333334,-1.6799999999999995,58,59,0,21.720000000000027
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,DE,4,105.23,19.403333333333336,0.230000000000004,105,110,0.2,346.03
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,DE,97,105.58,21.333333333333336,0.5799999999999983,105,110,0.82,313.86
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,OLB,47,105.98,26.983333333333334,0.980000000000004,105,110,1.04,210.44
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,CB,24,108.58,20.53333333333334,3.5799999999999983,105,110,1.83,6.430000000000007
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,CB,44,106.1,38.733333333333334,1.0999999999999943,105,110,0.96,339.97
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,SS,36,107.08,18.92333333333334,2.0799999999999983,105,110,0.12,229.19
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,ILB,6,108.35,23.393333333333334,3.3499999999999943,105,110,0.11,284.24
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,OLB,40,105.63,28.813333333333336,0.6299999999999955,105,110,0.12,250
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,SS,26,105.4,15.28333333333334,0.4000000000000057,105,110,0.61,312.91999999999996
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,DT,98,105.8,24.483333333333334,0.7999999999999972,105,110,0.63,308.90999999999997
2022102700,473,0,SINGLEBACK,3x1,1,5,95,defense,CB,22,105.85,17.573333333333338,0.8499999999999943,105,110,0.24,264.07
2022102700,473,0,SINGLEBACK,3x1,1,5,95,football,BALL,NA,104.6999998092651,23.413333257039437,-0.3000001907349059,105,110,0,NA
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,QB,12,103.31,23.333333333333336,-1.6899999999999975,105,110,0.45,284.99
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,WR,6,101.98,19.293333333333337,-3.019999999999996,105,110,1.68,20.69999999999999
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,WR,13,104.17,37.78333333333333,-0.8299999999999983,105,110,0.69,35.120000000000005
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,T,76,103.63,26.283333333333335,-1.3700000000000043,105,110,0.64,295.43
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,G,69,103.95,21.663333333333338,-1.0499999999999972,105,110,0.92,59.25999999999999
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,RB,7,98.11,23.113333333333337,-6.890000000000001,105,110,0.8,140.43
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,WR,14,102.81,18.03333333333334,-2.1899999999999977,105,110,0.68,120.45
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,T,78,103.89,20.453333333333333,-1.1099999999999994,105,110,0.94,60.21000000000003
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,G,60,103.96,24.853333333333335,-1.039999999999992,105,110,0.7,44.64999999999998
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,C,70,104.57,23.523333333333337,-0.4300000000000068,105,110,0.82,58.19999999999999
2022102700,473,0,SINGLEBACK,3x1,1,5,95,offense,TE,88,103.86,19.003333333333337,-1.1400000000000006,105,110,0.91,43.89999999999998
